Zona,Nome_01,Domicil_01,Famlias_01,Pop_01,MatrEsc_01,Emp_01,AutPart_01,ViagPro_01,ViagAtr_01,Area_01
458,Vila Conceição,20364,20364,61243,7560,19427,8689,92108,92299,371
459,Eldorado,24324,24324,74517,19417,13101,7527,83883,82584,867
460,Taboão da Serra,20200,20678,59135,23166,33351,18625,124323,124760,527
461,Jardim Irapuã,15849,15849,48079,8022,14889,9630,78318,77726,407
462,Parque Pinheiros,31321,31321,100971,16326,17793,17458,147085,148629,723
463,Parque Industrial,20619,20619,66834,18521,18392,9732,117019,114543,386
464,Santo Eduardo,23135,23135,72698,17328,16507,13401,116762,115711,319
465,São Marcos,35640,37367,116026,27077,16162,28797,186860,186180,1868
466,Embu das Artes,17536,17536,55726,20377,38483,7963,137721,137821,1469
467,Ressaca,6294,6294,19597,3940,10787,5089,32979,33095,3399
468,Itapecerica da Serra,46677,46677,152618,38791,47801,24690,259992,257786,7479
469,Jardim Petrópolis,1764,1764,5258,793,1353,1696,6658,6702,4132
470,Embu0Mirim,2435,2435,7934,812,4994,1339,15227,15174,3510
471,São Lourenço da Serra,5084,5213,15205,2876,5367,3893,20143,20251,18674
472,Embu0Guaçu,12720,12720,39958,10819,14009,9885,71737,71278,7757
473,Cipó,6520,6520,20953,4449,3842,4039,25517,25446,2227
474,Santa Rita,1942,1942,5951,1412,2293,1614,8766,8838,5614
475,Juquitiba,9967,9967,29995,7154,9420,7230,43860,44217,52333
476,Barueri,27120,27120,82967,25847,49715,15788,174819,175672,1469
477,Aphaville,15104,15580,46305,22531,30826,18566,119522,117815,1201
478,Tamboré,0,0,0,2436,83769,0,127518,128635,890
479,Antônio João,0,0,0,2268,6749,0,15700,15700,594
480,Vutopoca,13422,13422,42050,12735,8529,7268,62026,62099,473
481,Jardim Silveira,20640,20640,64790,20173,19619,13508,107120,106987,312
482,Jardim Belval,6354,6354,19794,6249,11138,2854,42616,42481,350
483,Morada dos Lagos,1086,1086,3319,750,5480,1459,12005,12063,1294
484,Cidade Ariston,41988,42794,131693,18225,19730,19418,149252,149496,790
485,Carapicuíba,37827,38607,110673,36457,26287,23892,194579,193315,777
486,Jardim Planalto,21991,21991,69644,13240,18952,12734,115834,115651,422
487,Aldeia de Carapicuíba,10757,11048,33783,4740,7849,7886,42351,42727,573
488,Estrada do Jacarandá,13184,13184,43648,9917,8533,11040,67580,66769,900
489,Osasco,1724,1724,4455,12446,23774,1345,90109,90864,189
490,Vila Yara,4394,4394,11522,15643,26788,3349,73794,73665,244
491,Bussocaba City,12600,12600,36900,12135,15881,15748,73308,69546,470
492,Nova Granada,21334,21334,60262,21870,35062,19067,159327,159430,546
493,Recanto das Rosas,9151,9151,31031,3266,5591,6130,35751,35457,389
494,Jardim Novo Osasco,20615,20859,63563,8938,8284,15534,86288,84755,354
