08_ZResidencia,08_AssCom_Cart,08_AssSem_Cart,08_FunPub,08_Auto,08_Empreg,08_ProfLib,08_DNegFam,08_TraFam,08_Total
367,4284,733,1144,4050,236,189,1512,0,12147
368,12423,3319,429,459,0,212,2702,0,19544
369,10604,1966,3999,4734,0,0,2297,317,23918
370,17398,6980,3865,8653,0,2992,2190,0,42077
371,18162,1245,3664,4104,0,0,2418,0,29592
372,14566,228,0,6176,261,1900,1733,0,24864
373,16521,1970,0,7060,355,0,855,0,26760
374,0,0,0,0,0,0,0,0,0
375,17295,2684,496,11812,0,0,1037,0,33324
376,9465,2246,560,5830,0,266,882,0,19248
377,44616,11725,1745,21988,1780,0,2347,356,84557
378,24243,4973,2281,8763,0,881,2408,0,43547
379,14010,1076,502,6646,853,0,1848,721,25656
380,26459,903,2686,12353,0,0,555,0,42955
381,0,0,0,0,0,0,0,0,0
382,24069,4830,1258,7476,2110,101,2818,0,42660
383,17751,1662,1734,8891,0,0,2335,0,32373
384,6079,1448,1172,5103,303,0,585,0,14690
385,0,0,0,0,0,0,0,0,0
386,638,41,0,1078,49,0,96,49,1951
387,13978,353,2860,5823,0,0,1403,0,24417
388,1574,330,0,982,0,0,157,0,3044
389,6143,198,2982,5959,513,1839,153,0,17789
390,2480,0,611,1991,0,0,0,0,5081
391,17757,2326,2320,9800,0,680,1330,0,34215
392,0,0,0,0,0,0,0,0,0
393,21386,2610,964,13360,0,0,1429,0,39749
394,3476,1283,400,2606,65,76,151,0,8057
395,21374,1045,6277,5022,345,0,238,0,34301
396,23957,2718,3649,16966,0,0,780,561,48633
397,15517,1950,744,5032,0,0,1601,0,24844
398,21889,7324,789,6478,165,330,2713,0,39688
399,12943,1364,994,8234,0,0,681,358,24575
400,24625,1717,1470,11160,992,0,3032,0,42997
401,24616,4836,2224,16506,1304,1807,4126,0,55420
402,3457,210,199,3508,661,0,99,99,8233
403,2522,1250,263,1772,0,0,234,0,6041
404,13261,1628,4913,9490,1183,351,2110,0,32936
405,8347,501,1621,3946,364,218,440,214,15652
406,7161,739,514,6366,1097,1099,0,0,16977
407,25174,2826,2516,18358,860,1120,0,0,50854
408,8416,735,244,7283,0,0,691,0,17370
409,3993,210,188,2248,0,0,80,0,6720
410,1659,318,155,1075,0,0,50,143,3400
411,4132,103,906,1891,0,0,103,0,7135
412,8553,130,367,3525,395,103,734,142,13949
413,4058,893,175,4845,298,746,175,473,11663
414,4174,394,2077,3414,90,229,1498,361,12236
415,2543,509,569,1672,0,0,217,0,5510
416,5600,1089,186,3559,0,34,724,0,11191
417,7624,660,1241,5846,379,926,3518,0,20195
418,11083,2458,1038,3278,0,0,1038,587,19481
419,10468,1332,1227,5040,0,51,138,0,18255
420,1039,18,130,468,109,0,139,0,1904
421,3156,522,340,2282,0,92,293,0,6685
422,12660,5083,1943,5984,491,1437,1908,282,29789
423,10085,221,568,2773,0,0,354,0,14000
424,5542,767,593,3414,696,109,133,134,11389
425,5118,406,41,3769,0,0,616,0,9949
426,5795,20,372,2083,0,584,206,110,9169
427,10523,1934,591,3742,135,135,912,0,17972
428,13808,4691,586,3451,0,586,2316,0,25438
429,14139,370,2056,11368,0,0,891,0,28824
430,15463,38,166,3312,201,166,700,201,20248
431,26771,2468,1490,10052,0,319,1858,0,42957
432,22517,3618,3157,12286,2005,0,889,0,44472
433,30443,2370,2782,13945,0,0,940,0,50479
434,573,13,32,418,49,0,56,0,1141
435,9020,482,468,3993,191,191,383,0,14728
436,22540,2755,3942,21017,779,721,3585,389,55730
437,43334,5161,2065,22190,1252,625,960,0,75587
438,23305,1913,0,12469,96,0,2957,0,40740
439,6854,279,560,2848,0,0,447,0,10986
440,21400,2717,1600,8481,402,507,1390,0,36498
441,5796,502,681,2006,0,0,810,0,9795
442,2387,1330,1134,1232,55,0,278,0,6416
443,2218,365,450,2032,0,0,0,0,5064
444,4790,426,1034,2518,0,62,395,384,9611
445,30235,417,0,9900,0,413,1727,0,42691
446,14657,1232,1073,6809,686,44,686,0,25187
447,10109,232,855,3567,826,1289,2607,363,19848
448,11211,2751,657,2589,1080,1074,739,0,20102
449,17954,3011,2742,7277,334,973,1923,974,35188
450,44583,4918,3024,18553,137,733,2910,160,75017
451,26361,2650,1097,16527,1421,1645,623,0,50324
452,11657,898,414,5133,0,0,1103,0,19204
453,6671,331,1606,2749,0,331,1147,0,12835
454,39024,3410,724,14833,334,457,5662,0,64444
455,16226,1781,1353,8692,1151,0,0,0,29204
456,20693,2576,286,11833,442,357,2104,0,38291
457,26433,2075,860,12964,0,0,4868,428,47629
