05_ZResidencia,05_RF1,05_RF2,05_RF3,05_RF4,05_RF5,05_Total
79,0,993,4389,3480,1828,10690
80,695,4077,8656,3440,2824,19691
81,0,237,3181,2643,6588,12650
82,511,4355,5038,1172,187,11262
83,423,3878,8199,4950,4825,22275
84,81,1354,4053,5900,5169,16557
85,0,267,1559,1663,1544,5033
86,67,921,1278,567,896,3729
87,125,1512,7221,4462,3034,16354
88,1037,5308,18055,12416,8541,45356
89,148,3599,4631,2724,2890,13993
90,67,1631,2537,2851,6146,13232
91,955,728,343,226,98,2350
92,8,85,160,57,14,324
93,293,2021,3694,1466,1558,9032
94,109,817,1826,410,830,3993
95,0,3996,6904,3091,3666,17657
96,23,598,1365,1494,3730,7211
97,0,2123,6387,2150,5950,16610
98,503,692,808,261,189,2452
99,1064,2013,3009,1329,705,8120
100,163,4870,8452,2467,3402,19354
101,755,4426,6845,5947,3886,21858
102,150,2401,5942,2440,1710,12643
103,42,398,934,716,533,2622
104,27,858,2507,1663,2009,7064
105,904,1832,4145,4214,3345,14439
106,1564,2190,167,0,0,3921
107,52,1137,5987,5038,2999,15213
108,368,1755,1123,205,0,3451
109,25559,42414,44936,7209,0,120118
110,7139,14936,25150,2165,1061,50451
111,3885,21300,16976,6921,1841,50923
112,11138,17772,5044,0,1198,35152
113,430,13423,9616,0,685,24154
114,0,0,0,0,0,0
115,16682,22994,9418,0,0,49094
116,40346,90454,23818,3289,0,157907
117,16900,31110,14362,1724,0,64095
118,2606,6401,7364,320,61,16752
119,29685,42988,12360,0,2214,87246
120,0,0,0,0,0,0
121,25001,46620,15318,3334,0,90273
122,24397,15292,10264,0,0,49953
123,21118,42071,9362,516,0,73066
124,17168,28515,14041,5142,0,64866
125,13434,27710,10366,266,823,52600
126,4810,18681,8903,166,1518,34079
127,5425,16944,28177,2831,564,53941
128,185,287,782,283,257,1794
129,512,1132,2160,684,107,4596
130,1121,1586,403,58,106,3274
131,325,415,398,41,48,1227
132,0,0,0,0,0,0
133,1034,10311,11036,4832,9228,36442
134,3736,6318,10715,5370,2688,28827
135,4270,5905,18431,6692,2865,38163
136,7002,13018,8272,3618,660,32570
137,6998,19344,23372,2160,1565,53439
138,1615,4140,1121,801,178,7855
139,5571,8432,7352,2953,0,24309
140,11893,19144,14680,956,718,47391
141,11661,35610,27300,4705,0,79276
142,21814,30391,11674,1796,648,66324
143,0,0,0,0,0,0
144,14486,35517,26550,11485,16488,104526
145,83,1075,2732,316,274,4480
146,0,0,0,0,0,0
147,1369,20248,6955,5235,94,33902
148,5565,10845,4728,1409,321,22869
149,0,0,0,0,0,0
150,17768,31071,2719,0,0,51558
151,19780,72076,15662,1168,942,109629
152,11622,9106,12390,776,1275,35169
153,738,2499,8107,2088,2851,16284
154,7879,11908,12992,5211,7475,45465
155,8288,16706,5701,1547,0,32242
156,10428,15312,17831,339,0,43910
157,1770,9403,7137,1319,0,19629
158,11746,16981,21816,4255,5662,60459
159,19864,25254,16673,1988,392,64171
160,8954,24110,9916,4302,3390,50672
161,14079,25607,5771,0,1840,47297
162,1554,9207,3662,370,1049,15842
163,3288,15137,17536,7346,4212,47519
164,760,2315,2694,79,0,5849
165,597,721,1596,161,109,3184
166,0,9692,18008,5177,0,32876
167,1972,2739,9657,2362,710,17440
168,1404,6735,11879,983,1502,22502
169,1766,5665,6306,6077,2646,22460
170,8123,16182,7848,1343,1197,34693
171,6355,20675,6989,4657,1990,40666
172,2047,10561,9192,4551,438,26788
173,3627,11633,10602,0,956,26818
174,5279,36490,7118,0,0,48886
175,7525,13591,9800,876,0,31792
