18_ZOrigem,18_TrabInd,18_TrabCom,18_TrabSer,18_Educ,18_Compras,18_Saude,18_Lazer,18_ProcEmp,18_AssPess,18_Refeic,18_Total
125,6457,8133,23862,27077,7928,705,1730,686,3463,94,80135
126,3898,7935,20426,23898,5847,2330,3467,341,2603,1182,71928
127,7723,14649,30596,37122,15067,6320,5824,912,9685,559,128457
128,1298,3166,12136,7536,2685,3796,2834,880,1331,237,35899
129,1089,5845,19350,11246,2821,8931,2802,446,8607,1245,62381
130,60,401,5693,1322,465,388,276,30,755,281,9669
131,536,1650,12486,6442,102,577,4113,0,4292,2154,32353
132,241,428,5703,3507,621,2155,1389,0,161,448,14652
133,2920,8604,31860,26280,4912,5643,3571,577,6062,1035,91464
134,2812,3721,22943,25941,3552,2978,3085,0,7731,1256,74018
135,3109,4686,31511,23279,3377,5765,5806,0,4571,1752,83855
136,5676,5952,28204,30363,2789,2107,5499,541,6761,2357,90249
137,6585,13839,27750,38060,2084,3119,5066,0,8583,1133,106219
138,3548,2727,13400,6190,3126,684,894,0,1007,1815,33392
139,4215,5237,15192,18669,5047,3879,3209,0,3983,2664,62094
140,3679,4928,23302,45725,4688,1337,2840,166,3473,719,90857
141,4345,12212,40781,76179,5536,5318,1143,1488,13060,438,160498
142,2130,8621,29323,42473,6803,3150,1260,298,3805,0,97862
143,0,0,0,0,0,0,0,0,0,0,0
144,4956,13376,50736,51231,13714,6554,9898,742,11766,882,163855
145,1008,346,4288,10620,174,246,2742,0,94,11,19530
146,0,0,0,0,0,0,0,0,0,0,0
147,5094,4348,27172,20917,5871,119,3667,0,6240,62,73489
148,3615,2055,9838,25557,615,1172,4967,0,1004,63,48887
149,78,0,0,0,0,0,0,0,350,0,428
150,5410,5038,13730,26193,2504,2889,3983,317,2114,0,62178
151,11000,7440,45279,75390,11606,9768,5629,1591,10989,342,179033
152,3518,2512,24973,30669,5876,1292,2967,0,7903,272,79982
153,1476,1290,15942,12054,3611,2058,2390,0,2293,0,41115
154,6663,4611,27129,28061,11269,5105,4801,0,11891,1555,101086
155,1466,4220,8888,17346,1823,1865,3505,886,2431,168,42598
156,4750,6044,20998,36388,10066,8082,303,317,1587,73,88608
157,1959,4217,8550,14970,1548,778,807,0,1377,0,34206
158,3143,5265,12378,32526,5720,6499,4456,0,4861,55,74903
159,11254,17128,20905,30931,7981,3537,2104,856,6678,580,101954
160,3834,2453,17572,18366,2371,3384,2478,0,4409,607,55473
161,10498,13416,38169,31805,3225,15665,3341,1598,3558,1300,122575
162,4843,4036,20196,27965,1234,1712,1938,542,5500,295,68261
