17_ZOrigem,17_Coletvo,17_Indiv,17_MMotor,17_MNMotor,17_Total
456,46424,49223,95647,71002,166649
457,31212,56341,87553,96187,183740
458,27737,26427,54164,37945,92108
459,30267,14105,44372,39511,83883
460,43883,43652,87535,36788,124323
461,19369,29874,49243,29075,78318
462,45063,36491,81554,65531,147085
463,27808,20923,48731,68288,117019
464,29614,33785,63399,53362,116762
465,48778,64232,113009,73851,186860
466,42739,46524,89263,48458,137721
467,12687,10895,23582,9397,32979
468,85827,89680,175507,84485,259992
469,2532,2113,4645,2013,6658
470,4895,6621,11516,3711,15227
471,5618,5564,11182,8961,20143
472,23577,27685,51262,20475,71737
473,11806,9324,21130,4386,25517
474,6003,1767,7770,997,8766
475,15114,13190,28303,15556,43860
476,62643,72907,135551,39268,174819
477,32673,50173,82846,36676,119522
478,47305,66228,113533,13985,127518
479,6425,6050,12475,3226,15700
480,20506,21175,41681,20346,62026
481,25995,40454,66449,40671,107120
482,10315,16233,26548,16068,42616
483,4292,6776,11068,937,12005
484,63265,33256,96521,52731,149252
485,73021,45928,118950,75629,194579
486,25984,42026,68010,47823,115834
487,16050,14888,30938,11413,42351
488,14096,18038,32134,35446,67580
489,45265,36076,81341,8768,90109
490,31069,33874,64943,8852,73794
491,30047,27320,57367,15942,73308
492,41161,68162,109323,50003,159327
493,13287,9415,22702,13049,35751
494,26552,22661,49213,37075,86288
495,49529,47234,96763,51993,148756
496,26426,53692,80118,30027,110145
497,5555,7978,13533,8396,21929
498,14774,19731,34505,12684,47188
499,51837,39981,91818,68022,159840
500,22403,22074,44477,33573,78050
501,25486,26626,52112,43699,95811
502,20156,13734,33890,12156,46045
503,8797,12735,21532,5513,27045
504,31406,49047,80453,68913,149366
505,2423,6014,8438,1595,10033
506,29032,38719,67751,13641,81392
507,17975,29466,47440,8318,55758
508,67860,102706,170567,74080,244647
509,2546,2884,5430,1461,6891
510,0,0,0,0,0
511,12081,17981,30062,27696,57758
512,21751,35745,57495,38647,96143
513,976,1596,2572,396,2968
514,52357,44218,96575,60314,156889
515,54071,46897,100968,53983,154950
516,64903,95400,160304,53303,213607
517,6246,2950,9197,13723,22920
