16_ZOrigem,16_Metro,16_Trem,16_Onibus,16_TFret,16_TEscola,16_DirAuto,16_PAutomo,16_TaxCon,16_TaxNCon,16_DirMoto,16_PMoto,16_Bicicle,16_APé,16_Outros,16_Total
269,3479,82,17998,748,988,18347,5935,832,886,1274,167,686,15601,0,67022
270,1713,0,5446,153,1174,8185,4066,114,465,946,0,0,5261,0,27524
271,1906,0,4827,814,0,9286,160,569,1714,1580,0,0,1302,639,22796
272,2843,0,6664,38,2221,14782,4484,0,1396,404,0,114,8334,0,41280
273,8661,0,24887,0,5858,27815,14683,0,552,1603,704,0,33679,0,118441
274,22411,0,24106,10,3608,26604,14441,819,1211,27,0,284,42405,0,135926
275,22726,0,16759,159,2904,20586,10285,0,2201,1841,0,0,35718,0,113179
276,22199,0,26262,0,6499,34156,23167,0,195,4053,389,0,43022,0,159942
277,4198,938,24953,0,4954,27711,15125,0,657,1790,673,67,43097,0,124162
278,11986,308,44460,0,12408,23274,14770,0,1032,6855,1111,519,92953,0,209678
279,4625,1691,27176,0,10368,7494,2345,0,516,2422,363,0,44160,862,102021
280,6163,5129,26903,1358,976,18089,3585,0,265,2310,122,339,13254,0,78495
281,2586,2483,19581,520,5637,22926,10556,344,1720,1411,1110,0,16146,0,85019
282,4839,420,20028,0,2002,19965,6849,279,1620,5005,1232,0,23788,862,86888
283,1041,1016,5070,0,322,3699,997,59,988,303,0,132,5386,189,19202
284,1880,2918,22900,667,9178,14186,3355,0,348,707,0,0,25836,0,81974
285,5990,2129,30876,0,11095,22561,14680,0,1282,6125,0,0,74876,0,169615
286,3123,1965,18580,139,1890,10989,3782,0,555,4461,0,379,4999,0,50861
287,1074,1558,16455,540,2397,19397,7980,238,161,1343,0,2683,16917,0,70743
288,969,1148,20515,0,4429,6073,2338,0,77,1897,104,245,12041,0,49835
289,3389,6409,21560,1080,7951,15213,4697,82,687,824,0,796,31488,639,94814
290,4244,6936,17772,0,5764,8344,3412,0,1305,1232,0,0,38359,2516,89885
291,4817,9954,24799,785,11915,27124,16997,0,380,1555,330,0,34542,0,133199
292,6143,2948,17516,0,8010,17638,8536,0,1003,4088,0,0,34578,0,100460
293,7469,9837,37005,0,14922,7447,10371,295,0,3467,0,1710,51062,2516,146103
294,6875,16259,33484,1860,14315,7816,1346,0,0,1939,0,0,84813,1386,170092
295,6361,10215,43374,0,13320,17229,13455,0,555,5058,823,1778,57294,0,169462
296,219,37,2398,0,2355,1872,893,0,0,142,0,742,386,0,9045
297,25,240,1066,308,386,1040,366,0,0,0,0,130,536,0,4098
298,4233,13654,49384,565,26289,15721,14578,146,1072,2499,551,2073,89038,623,220424
299,474,326,4141,0,884,1583,398,0,0,193,0,0,2431,0,10429
300,27511,20394,55861,842,3968,67670,20232,1842,2265,5192,458,1290,60739,533,268798
301,4129,364,14578,0,2470,14830,6738,458,1615,695,0,79,4431,0,50386
302,16986,2456,47155,749,2031,22536,8533,515,389,1423,87,362,16315,0,119538
303,13882,7890,59190,57,2463,18393,4762,258,483,5816,1753,265,15516,644,131372
304,9080,1582,43184,0,7709,23409,5806,0,1071,4624,1430,848,64197,0,162940
305,5027,3176,67775,0,6756,20411,7147,0,3224,4045,990,0,89040,0,207592
306,3818,704,29314,0,8016,6058,1430,0,1229,2883,481,0,46699,81,100713
307,7202,1075,49532,0,15748,13476,4771,0,277,4268,0,0,50118,0,146468
308,921,498,14926,0,7067,4092,947,0,0,217,0,0,32151,0,60820
309,3420,586,28060,0,9610,6494,3372,0,855,1396,0,829,23730,87,78440
310,599,0,9478,0,2329,3058,2085,0,190,786,0,0,10209,0,28733
311,4156,4273,45285,764,10707,14300,7815,0,615,7255,494,0,54374,167,150206
312,8100,0,19154,155,7115,14301,12708,0,1191,3898,837,0,26524,0,93983
313,1291,516,11213,99,3581,6156,2883,0,0,1442,0,0,17667,459,45307
314,13517,0,56025,0,19928,16989,5365,0,259,3741,0,0,69051,1432,186306
315,13828,0,46349,181,11000,14445,4703,0,30,6667,0,773,77096,0,175072
316,4749,1219,6482,72,2943,15013,7190,315,1251,2172,0,1111,4483,0,47001
317,1480,2747,3136,0,123,6736,1596,35,456,1256,0,40,762,0,18368
318,2635,2485,12817,0,1418,11157,2698,60,229,2704,125,0,10978,527,47831
319,1829,1379,10930,1644,2303,12116,3158,182,133,990,0,158,5031,0,39853
320,2228,0,27506,0,3753,9965,2953,220,630,1295,276,181,50985,274,100266
321,4785,137,19549,0,4446,32132,7848,604,2189,2165,210,643,25324,0,100031
322,4437,95,16865,0,7835,27085,6877,424,1303,1777,0,845,15632,274,83449
323,11813,825,17323,0,12973,12771,8574,0,0,1573,0,0,30004,539,96394
324,1700,0,36131,462,12502,9639,3308,0,1147,3679,0,0,28986,0,97554
325,2210,0,19573,364,3796,14039,14297,0,0,1333,694,488,31130,0,87923
326,6494,737,18645,419,2870,12046,10158,0,37,1751,0,416,11959,422,65954
327,736,48,5604,0,1675,9937,4461,142,218,782,67,0,7946,0,31616
328,2794,657,9051,1007,3712,16269,7461,855,0,1141,0,0,8481,197,51627
329,4456,2429,15542,0,3011,26988,14110,105,1438,3269,773,991,16795,0,89906
330,3730,523,11097,0,4311,20822,7260,102,527,1123,0,0,13938,0,63434
331,3347,0,15530,96,8926,14126,7143,0,317,2195,503,617,17401,0,70202
332,2614,291,15601,0,5416,10789,6577,0,0,3431,546,617,35780,0,81663
333,2176,2229,8661,544,1444,7149,1612,291,0,1722,0,0,8661,0,34489
334,1485,86,11574,0,7908,19185,7132,204,449,2254,0,24,17888,0,68189
335,2130,568,13679,0,4713,14080,7478,0,418,960,379,507,23860,0,68772
336,1915,0,19541,0,9110,11077,2715,0,0,1058,0,191,14204,951,60761
337,1572,3866,10593,0,5682,11957,7855,263,0,714,0,191,9219,401,52312
338,5466,2963,16421,0,1334,12207,5372,0,240,2494,0,3103,21664,179,71443
339,17113,4255,22481,2023,521,27467,3913,416,1289,1434,0,2169,6620,0,89704
340,7080,143,8946,294,426,14062,2565,385,638,613,0,656,3360,337,39506
341,2176,342,3784,0,1937,7614,3448,77,481,2819,0,251,7086,0,30016
342,7075,1342,9046,0,2648,22941,7991,948,0,758,0,684,16227,0,69660
343,34,127,315,0,703,1239,473,0,0,103,74,0,661,69,3799
344,6836,6173,16527,1487,6193,26048,11688,0,520,1200,0,0,32461,69,109204
345,608,1188,4359,0,6088,5835,1775,0,0,608,341,1065,16805,0,38674
346,0,0,0,0,0,125,0,0,0,0,0,0,0,0,125
347,250,2080,21247,982,15525,14243,10422,0,37,2320,0,2811,48270,45,118233
348,0,0,2162,350,1117,1626,836,0,0,159,0,48,2807,45,9150
349,0,0,0,0,0,292,0,0,0,0,0,0,0,0,292
350,108,5193,5662,604,15284,7916,3279,150,0,1471,0,0,25294,0,64961
351,3868,13524,18331,0,10443,15409,9278,0,674,1365,0,0,44226,0,117117
352,0,0,1882,0,0,3037,1488,0,0,0,0,0,425,0,6833
353,0,0,379,0,0,0,0,0,0,0,0,0,0,0,379
354,0,0,0,0,0,493,0,0,0,0,0,0,0,0,493
355,3090,7893,10541,274,3776,13901,5117,171,0,709,0,1028,41305,0,87804
356,7210,13905,16274,294,7005,9054,3325,0,294,2737,0,0,71536,0,131633
357,185,604,408,68,157,405,146,0,0,76,0,0,2746,0,4794
358,1847,255,5768,223,5091,13503,7171,199,0,446,0,1661,18818,304,55285
359,241,0,1495,0,3810,4385,2363,0,0,2229,940,0,7715,1379,24556
360,1731,17,3798,0,3315,4032,1944,0,0,446,0,2342,9579,0,27205
361,445,0,2251,0,3279,2920,1059,0,0,0,0,127,6260,0,16341
