Zona,TMV_Col_20,TMV_Ind_20,TMV_Ape_20,TMV_Bic_20,Total
498,57,25,16,40,137
499,51,25,14,18,109
500,48,21,14,8,92
501,53,24,10,9,96
502,68,40,14,30,152
503,64,27,7,0,98
504,70,18,11,0,99
505,82,30,14,0,126
506,63,31,12,15,121
507,76,26,16,0,118
508,49,26,15,60,149
509,62,30,7,0,100
510,0,0,0,0,0
511,61,27,17,60,165
512,50,27,20,0,97
513,74,28,9,60,171
514,64,18,14,25,120
515,64,29,14,22,130
516,49,28,7,15,99
517,49,33,14,0,96
