Zona,RF1_05,RF2_05,RF3_05,RF4_05,RF5_05,Total
416,12.66,69.88,14.85,2.62,0,28601
417,9.64,39.22,38.42,6.79,5.96,43769
418,20.94,42.83,27.42,2.38,6.45,50488
419,20.7,29.43,42.72,5.57,1.6,37411
420,13.32,47.87,22.99,1.64,14.2,4460
421,9.66,52.3,29.77,3.39,4.9,14828
422,1.08,23.43,42.7,19,13.82,55759
423,2.28,37.45,47.45,10.59,2.24,31451
424,5.26,51.49,39.08,2.01,2.19,23802
425,25.87,43.67,30.48,0,0,26843
426,3.31,24.28,50.09,20.04,2.3,19642
427,6.44,39.04,52.38,1,1.17,41926
428,13.8,51.46,27.7,7.06,0,51991
429,5.45,38.22,50.39,3.35,2.61,59712
430,14.22,52.48,25.94,7.38,0,40870
431,17.59,50.64,27.89,3.9,0,105758
432,8.55,46.18,31.89,6.27,7.14,111442
433,22.45,57.34,20.23,0,0,117905
434,41.76,55.98,2.24,0,0,3039
435,18.78,37.29,40.6,3.35,0,34164
436,14.53,53.87,31.61,0,0,127883
437,32.96,49.04,18.02,0,0,167856
438,33.07,52.72,14.23,0,0,95761
439,27.63,48.5,20.82,3.07,0,25272
440,15.78,51.58,22.2,10.46,0,81235
441,31.37,37.12,29.21,2.33,0,22824
442,19.36,44.64,32.48,3.55,0,13728
443,24.06,47.86,28.11,0,0,12913
444,28.76,63.74,5.62,1.91,0,35592
445,10.1,37.51,46.88,2.16,3.38,95482
446,8.82,37.97,44.67,4.74,3.83,54988
447,2.15,20.56,53.61,17.61,6.09,44474
448,4.87,30.46,43.51,12.78,8.4,45474
449,4.14,20.53,56.7,12.57,6.08,67205
450,21.16,47.84,25.02,4.77,1.23,172260
451,11.8,64.4,17.63,4.63,1.57,102171
452,23.4,45.62,31,0,0,47137
453,24.1,36.37,39.54,0,0,30620
454,21.41,43.1,33.35,2.16,0,142929
455,29.46,27.34,34.72,1.65,6.86,57426
456,24.35,63.21,9.44,0,3.03,99606
457,18.31,56.68,20.81,4.23,0,107955
458,13.25,61.92,24.85,0,0,61243
459,25.48,63.67,10.7,0,0.18,74517
460,10.59,45.91,33.07,8.75,1.7,59135
461,11.32,56.19,29.31,3.19,0,48079
462,22.08,56.93,18.17,2.84,0,100971
463,27.43,59.96,12.62,0,0,66834
